                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.0972,                0.99391,                 1.3208,                0.91588,                    0.5,                0.82833,                0.66267,                 1.0757,                  1.377,                 1.1873,              0.0013367,              0.0013367,              0.0013367
                     70,                 1.1646,                  1.026,                 1.3688,                0.79641,                      1,                  0.995,                0.43867,                 1.4942,                 2.1635,                  1.403,              0.0013268,              0.0013268,              0.0013268
                     71,                 1.2255,                0.95981,                 1.3735,                      1,                 0.8933,                  0.995,                 0.6965,                 1.4068,                 1.7539,                   1.32,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.1611,                0.89166,                 1.3888,                0.99076,                      1,                  0.995,                0.74626,                 1.0239,                0.97977,                 1.1231,               0.001307,               0.001307,               0.001307
                     73,                  1.333,                 1.0589,                 1.4064,                      1,                0.99307,                  0.995,                0.74632,                0.99752,                0.87824,                 1.0878,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.1954,                 0.9275,                 1.3649,                0.63985,                      1,                0.82833,                0.43092,                 1.5072,                  1.077,                 1.1606,              0.0012872,              0.0012872,              0.0012872
                     75,                  1.132,                0.92313,                 1.2969,                0.65666,                      1,                0.82833,                0.44754,                 1.5801,                 1.0509,                 1.2212,              0.0012773,              0.0012773,              0.0012773
                     76,                 1.2175,                 1.0058,                 1.4381,                0.62332,                    0.5,                0.49748,                0.39798,                 1.6505,                0.92572,                 1.6031,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.2567,                0.92857,                 1.4395,                0.65535,                      1,                0.82833,                0.38136,                 1.9658,                0.93734,                 1.9155,              0.0012575,              0.0012575,              0.0012575
                     78,                 1.3039,                 1.0176,                 1.4018,                0.64521,                      1,                0.82833,                0.48888,                 1.6863,                 1.4512,                  1.741,              0.0012476,              0.0012476,              0.0012476
                     79,                  1.238,                0.96085,                 1.3373,                      1,                0.93869,                  0.995,                0.48067,                 1.7279,                 1.0382,                 1.8228,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.2063,                 1.0238,                 1.3816,                0.98057,                      1,                  0.995,                0.54728,                 1.5035,                  1.132,                 1.4579,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.0995,                 1.0119,                  1.352,                      1,                0.99087,                  0.995,                0.74621,                 1.2071,                 1.1194,                 1.1396,              0.0012179,              0.0012179,              0.0012179
                     82,                 1.2266,                0.96635,                  1.359,                0.96829,                      1,                  0.995,                0.74621,                0.81878,                0.81946,                 1.0315,               0.001208,               0.001208,               0.001208
                     83,                 1.1655,                0.97078,                 1.3493,                0.97715,                      1,                  0.995,                  0.796,                0.77293,                0.72958,                 1.0225,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.0798,                0.90961,                 1.3248,                0.91231,                      1,                  0.995,                0.64687,                 1.4143,                 1.0374,                 1.2979,              0.0011882,              0.0011882,              0.0011882
                     85,                 1.1054,                0.89254,                 1.2656,                0.46962,                    0.5,                0.30632,                0.18598,                 2.6819,                 1.6157,                 1.9642,              0.0011783,              0.0011783,              0.0011783
                     86,                 1.0642,                0.87253,                 1.2717,                 0.4632,                    0.5,                0.28596,                0.15335,                 2.5976,                 1.5544,                 2.3723,              0.0011684,              0.0011684,              0.0011684
                     87,                 1.0846,                0.94095,                 1.2915,                0.49228,                    0.5,                0.52441,                0.40044,                 2.3552,                 1.1448,                  2.138,              0.0011585,              0.0011585,              0.0011585
                     88,                 1.0743,                0.89372,                 1.3415,                0.54175,                    0.5,                 0.4968,                0.39744,                 2.2266,                 1.1205,                 2.0702,              0.0011486,              0.0011486,              0.0011486
                     89,                 1.0264,                0.87319,                 1.2489,                0.49938,                    0.5,                0.49698,                0.34788,                 2.1615,                 1.0693,                 1.9239,              0.0011387,              0.0011387,              0.0011387
                     90,                 1.1173,                0.93516,                 1.3562,                0.97059,                      1,                  0.995,                  0.621,                 1.0959,                 1.0382,                 1.1033,              0.0011288,              0.0011288,              0.0011288
                     91,                 1.0886,                0.89362,                 1.2955,                      1,                0.99226,                  0.995,                0.89537,                 0.8876,                0.96533,                 1.2226,              0.0011189,              0.0011189,              0.0011189
                     92,                 1.0238,                0.84804,                 1.2697,                0.99733,                      1,                  0.995,                0.60547,                 1.3159,                0.99559,                 1.2497,               0.001109,               0.001109,               0.001109
                     93,                 1.0867,                0.83012,                 1.3362,                 0.9815,                      1,                  0.995,                 0.6965,                 1.3976,                0.82832,                 1.3514,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.0357,                0.84413,                 1.2747,                0.97715,                      1,                  0.995,                 0.5638,                 1.6217,                 1.0246,                 1.4849,              0.0010892,              0.0010892,              0.0010892
                     95,                  1.164,                0.89659,                 1.3931,                0.97607,                      1,                  0.995,                0.56399,                 1.3911,                 1.1075,                 1.4308,              0.0010793,              0.0010793,              0.0010793
                     96,                 1.0718,                0.83522,                 1.2474,                0.97915,                      1,                  0.995,                0.45254,                 1.8247,                 1.1234,                 1.8164,              0.0010694,              0.0010694,              0.0010694
